ProductCode;AlcoholValueRatio;AlcoholPercentage
13746201;23.39;43%
14900701;27.18;40%
463401;19.93;43%
463404;24.99;43%
2875901;19.27;43%
274701;45.03;13%
12095301;16.26;13.5%
8319601;19.28;14.5%
14101501;44.35;13.5%
14101101;41.29;14.5%
14101301;44.35;13.5%
14100801;46.05;13%
15497501;46.05;13%
14100901;46.05;13%
15524401;39.41;13.5%
12848601;38.87;12%
12848801;37.76;12%
12039701;23.73;13.5%
12294501;55.33;13.5%
7688801;68.95;13.5%
11045201;9.48;14%
12534501;46.67;14%
12534601;45.06;14.5%
11185802;21.53;6.6%
14768401;28.55;42%
7898601;17.08;42%
13453401;21.8;30%
13453501;19.04;30%
14743302;24.79;48%
14114102;24;45%
14114002;24.79;48%
14653301;25.54;12%
14653401;25.63;13%
7217807;29.04;40%
4874501;52.13;40%
4874301;69.05;40%
4874405;41.57;40%
7403905;46.81;40%
7404007;43.01;40%
9613301;39.67;40%
1423005;38.58;40%
7404101;261.65;42%
11898401;57.41;13%
11898301;55.35;13%
14168901;70.67;15%
12556901;28.27;15%
1627101;42.05;13%
3232401;45.13;13%
11849501;45.13;13%
3004701;31.89;12.5%
15518901;44.1;13%
12761102;22.85;35%
13693601;39.99;15%
13693901;109.51;14%
13694001;100;14%
13693701;69.88;14.5%
13693801;85.7;14%
1778901;12.61;40%
1778801;13.03;40%
1472301;13.03;40%
15384201;27.58;14.5%
15384101;29.62;13.5%
15384301;44.44;15%
11394601;47.44;52.7%
12914201;47.18;60%
12359301;37.97;14%
11475501;31.38;12.5%
12359401;29.52;13.5%
14167401;52.83;12.5%
14167501;48.88;13.5%
14167301;52.79;12.5%
14167201;52.79;12.5%
5188501;33.54;13.5%
10360901;34.67;13.5%
5188601;33.54;13.5%
10360701;37.44;12.5%
5188401;33.54;13.5%
10360801;32.28;14.5%
10871602;23.74;16%
15040201;17.85;16%
10871508;56.63;15%
14415501;20.35;40%
11546701;22.71;47.8%
4320606;11.36;13.5%
15371501;53.75;12.4%
15371901;62.87;12.7%
15371301;62.87;12.7%
603401;71.42;14%
7799301;32.29;14%
7799501;40.71;15%
10009101;20.14;40%
1595001;19.57;42.7%
10009601;17.84;57.1%
12434201;51.24;46%
12426401;34.04;47%
12434101;76.19;45%
12434301;51.55;48.5%
12434401;41.67;48%
12434501;48.15;44.5%
9945801;39.87;43%
9946901;26.57;43%
3103005;39;40%
10322101;22.14;40%
3031901;25;40%
15612601;25.93;12.6%
15612501;27.22;12%
10820401;21.34;13.5%
13449301;21.43;12%
10506201;41.81;14%
15017001;24.64;14.5%
10506301;23.6;13.5%
7950101;30.75;13%
12998801;87.87;13.5%
12998901;106.64;13.5%
14681301;33.32;12%
13076001;21.66;12%
15609001;42.66;12.5%
15608901;33.06;12.5%
8239201;22.39;12.5%
10510301;47.99;12.5%
10343301;28.79;12.5%
11717101;34.12;12.5%
11716801;36.26;12.5%
11717001;36.26;12.5%
11716701;41.47;13.5%
10145501;34.86;13%
14665805;38.46;13%
10145401;36.26;12.5%
10145701;33.57;13.5%
14665705;37.03;13.5%
10145801;33.57;13.5%
12117401;13.32;13%
15087201;20.42;12.5%
12117301;14.43;12%
11868705;45.32;12.5%
12997401;97.43;13%
11576701;144.78;12.8%
11575701;86.44;12.8%
14565701;287.17;13%
11874301;54.35;13%
10842001;77.59;12.8%
11877802;71.79;13%
11877705;126.66;13%
10821801;138.49;13%
11877901;309.73;13%
14565901;399.99;13%
10720801;49.22;13%
11874805;63.57;13%
11874601;72.81;13%
11874702;84.08;13%
14565801;113.84;13%
11576301;81.02;13%
10842201;87.17;13%
10842101;86.17;13%
11875502;94.32;13%
13717801;25.13;13%
13718101;36.92;13%
13718001;31.79;13%
13718501;43.08;13%
14574901;23.69;13.5%
15429701;179.48;13%
11609501;14.28;50%
12567905;39.46;12.5%
6932401;40.43;12.5%
8099701;32.49;13.5%
4214701;28.27;12.5%
12096901;41.58;16%
12096801;27.63;12.5%
12097001;30.38;14%
10909301;31.1;12%
12657404;14.34;12.5%
11443201;11.72;12.5%
13622901;13.24;14%
12547701;12.65;11.5%
13744301;27.62;13.5%
9192801;23.79;14%
13744001;27.56;13%
9407702;2722.22;18%
11569501;1369.7;16.5%
11569601;787.88;16.5%
11569701;638.38;16.5%
1825901;30.26;13%
13073601;17.54;11%
13073701;17.54;11%
11284901;20.22;14.5%
11350901;21.53;13%
13493401;18.76;13.5%
12717501;15.51;12%
12717506;14.99;12%
4874901;24.22;11%
13834702;87.08;5.5%
5589201;14.92;12.5%
14717805;26.39;12%
12706101;102.54;13%
12706301;102.54;13%
12706401;102.54;13%
2773701;24.35;11.5%
9238801;24.24;11%
10314501;33.74;15%
15126701;21.16;14%
15126801;23.79;14%
15126901;20.12;13%
3866701;22.07;9%
10407902;17.99;30%
10408302;30.65;15%
10329802;22.99;20%
13754802;30.65;15%
13755601;24.75;15%
10408202;23.99;20%
10407802;20.82;24%
7870402;30.65;15%
10386402;20.82;24%
13727501;31.54;24%
12872801;24.75;15%
10408402;30.65;15%
10408002;29.32;15%
14370701;16.19;30%
10329902;30.65;15%
13754502;35.83;24%
13727402;35.83;24%
13728002;39.08;22%
10330102;30.65;15%
10330202;30.65;15%
10407602;30.65;15%
13727102;35.83;24%
4113402;30.65;15%
10407702;30.65;15%
10408102;15.99;40%
13727302;22.99;20%
13754702;30.65;15%
10330302;30.65;15%
15416701;60;15%
15114901;52.78;12%
15114401;62.78;12%
15114601;43.89;12%
3403908;24.98;40%
12432602;32.38;42%
7949201;128.57;40%
8142501;17;40%
3463907;17.49;40%
7101;16.42;40%
3463902;16.99;40%
949002;20.71;40%
791605;22.5;40%
791607;20.42;40%
791601;17.85;40%
4339202;17.99;40%
14373701;16.12;40%
14373702;20.35;40%
791603;42.45;40%
791502;23.49;40%
9389301;45.54;40%
15120902;46.5;40%
791501;23.93;40%
14856201;19.26;13.5%
1514001;23.07;13%
4598701;22.21;13.5%
14856301;19.26;13.5%
14856801;27.64;13.5%
14856601;28.71;13%
14856401;27.64;13.5%
12184602;24.98;10%
15310102;25.86;6.2%
15104702;24.92;8.5%
15157502;24.96;8.5%
15157802;21.43;9.9%
15157702;21.87;9.7%
15129302;29.11;10.4%
15310202;27.22;6%
15157602;28.03;10.8%
13054901;63.88;12.5%
13408001;90.87;13%
15288701;96.41;13%
13407901;68.51;13%
15289201;74.67;13%
12124901;65.96;12.5%
15289001;74.67;13%
10793401;40.62;13%
15271801;38.56;13%
15272701;80;13%
10794901;139.9;13%
13408401;156.92;13%
15289501;209.23;13%
15289301;184.51;13%
15272501;41.85;13%
14236401;155.73;12.5%
15272001;173.33;13%
15272201;110.67;13%
13054401;81.27;12.5%
15288301;53.33;13%
15272801;57.03;13%
15288201;71.59;13%
13408601;94.36;13%
15289801;116.27;12.5%
13408101;134.4;12.5%
15289901;143.49;13%
6972201;97.32;12.5%
13408501;129.23;13%
15290101;155.9;13%
15289601;196.27;12.5%
12775201;177.5;13.5%
15288601;71.59;13%
15288501;116.51;13%
14236801;159.57;12.5%
15288901;173.33;13%
15288101;116.51;13%
15289101;155.9;13%
15272601;86.15;13%
15271901;66.87;13%
13407801;121.85;13%
15289701;155.9;13%
12125101;97.03;13%
13408201;134.4;12.5%
15289401;155.9;13%
13408301;125.13;13%
15290001;166.15;13%
13486301;229.89;14.5%
13486605;26.61;12.5%
3507601;21.02;13%
13486507;26.64;12.5%
13473405;21.56;14.5%
4089001;19.76;14.5%
6865901;25.57;12.5%
10783501;19.03;10.5%
10783401;14.81;13.5%
3507701;18;14%
15501502;38.97;13%
15501305;59.28;13.5%
15501601;63.77;13.5%
15500905;37.55;13.5%
15501101;38.58;13.5%
15501001;44.15;13%
15501405;45.68;13%
15501202;34.75;12.5%
15501701;31.62;12.5%
3508901;28.55;7%
7976201;24.7;7%
8264801;28.43;7.5%
12506201;65.19;13.5%
5184301;94.53;12.5%
6117801;73.81;12.5%
5184601;253.87;12.5%
13128401;83.2;12.5%
15474601;34.64;11.5%
5607201;25.38;11.5%
6073101;32.28;14%
7522101;75.29;15.5%
15587201;28.59;13.5%
15581301;28.59;13.5%
11521302;24.67;13.5%
11804702;32.95;5.5%
10038402;25.22;9%
10038502;26.36;7%
13732101;61.09;12%
10910701;37.76;12%
14446401;94.43;12%
11345101;94.43;12%
11345001;94.43;12%
14444501;94.43;12%
15463105;377.75;12%
15463301;333.28;12%
4859201;37.52;13.5%
14269201;18.45;13%
14575701;16.06;14.5%
8289401;28.61;13%
9293601;24.57;13.5%
8289501;47.31;13.5%
9293701;42.37;13.5%
2873201;32.49;13.5%
12751401;27.64;13.5%
14127101;18.55;17%
11505801;19.01;37.5%
14466401;18.06;37.5%
14466501;18.06;37.5%
14466301;18.06;37.5%
14466201;18.06;37.5%
14736701;21.76;17%
10733101;18.2;46.3%
10827601;38.87;46.3%
12640401;58.82;49.3%
14046601;43.33;52.7%
12399701;17.58;46.3%
12593801;19.04;14%
12429801;48.59;7%
15484702;47.46;6%
11394801;32.37;14%
11394901;30.61;13.5%
11394701;32.37;14%
12565901;46.26;6.6%
7809302;177.73;6%
10632101;28.41;43%
14858801;25.05;43%
14858901;25.05;43%
14859001;34.73;55.3%
14859101;29.96;59.8%
14981101;29.56;59.4%
14525701;21.4;40%
14525501;21.4;40%
5854301;45.31;5%
12640001;38.96;14.5%
10471501;26.56;15%
11225701;71;15%
15602501;21.72;13.5%
12940905;19.68;13.5%
4264101;18.95;14%
11749601;20.92;14%
12940805;26.6;14.5%
5715701;25.62;14%
5498501;55.9;15%
6822802;39.56;9.4%
6823201;44.8;7%
11831601;29.76;48%
1950701;25;40%
11831801;53.97;45%
1106101;23.64;42%
13176501;120.94;42.5%
12435701;142.52;42%
10189401;127.59;40%
12706707;43.57;42%
12679402;39.29;42%
13311703;47.57;42%
14971501;159.28;43.5%
12408301;141.16;43%
13564001;96.2;46%
13311601;59.05;45%
13846301;58.28;44.1%
13804701;94.05;42.5%
14953801;113.02;45%
13636401;80.25;43.7%
14971301;88.06;43.8%
14971401;58.73;45%
12713901;82.94;42.2%
9500401;45.18;40%
13322201;119.99;12%
2209001;63.32;12%
2208901;53.88;12%
2208701;68.88;12%
11170105;22.77;12%
3119001;23.18;11.5%
98601;13.9;11.5%
678101;13.9;11.5%
15426701;30.16;13%
11289501;33.52;13%
3824801;43.56;13%
11289601;37.98;13%
14646501;52.34;13.5%
5598101;17.61;14%
13401501;73.75;15%
14592801;71.08;15%
3374601;28.71;13%
13401801;42.27;14.5%
14593001;42.27;14.5%
7811701;33.06;12.5%
14592701;55.97;15%
14673601;16.22;11.5%
12073502;22.62;18.5%
8262602;31.13;7%
4371601;21.32;10%
13274802;21.48;8%
4397202;26.7;8.5%
13274502;20.21;8.5%
11958401;28.17;14%
15273601;20.86;11.5%
15196401;16.67;14%
15273701;24.75;14%
14476001;22.09;42%
12163301;23.05;30%
14125701;24.8;43.2%
4500301;22.37;14%
6977501;27.58;14.5%
7271301;28.21;40%
2206901;24.25;40%
118505;22.76;12%
118501;22.39;12.5%
7778501;26.65;13%
9099801;22.77;12%
1226607;46.11;12%
13611101;21.66;12%
7401004;33.29;12%
9476802;28.87;12%
8333308;33.29;12%
9476805;24.99;12%
10602004;33.29;12%
10602101;23.32;12%
7401101;24.43;12%
8340401;24.43;12%
849801;31.1;12%
12229601;31.1;12%
9476905;24.99;12%
13701002;27.71;12.5%
14334008;33.29;12%
1282201;22.21;12%
13277401;31.1;12%
13455207;55.28;12%
13455307;48.47;12%
3524701;25.54;12%
118405;27.77;12%
118401;25.59;12.5%
15196501;37.52;13.5%
14797602;25.99;25%
15353101;61.81;14%
14738801;21.06;14.5%
13890001;38.53;14.5%
15353001;60.13;15.5%
14864901;21.81;14%
14061301;24.75;14%
5079901;19.74;13.5%
13888501;28.62;13%
15287801;49.89;12%
15287901;49.89;12%
13940501;77.64;12%
13940601;68.77;12%
13941701;68.77;12%
15288005;83.31;12%
12546601;12.65;11.5%
11520102;35.03;17.5%
12754201;43.93;13.5%
6971601;14.95;43.5%
11910701;16.75;40%
14472801;22.69;14.5%
14431601;29.69;14.5%
14431701;26.69;14.5%
9862801;32.65;10%
13450401;37.72;11.5%
11617201;427.89;13%
14345101;39.53;14.5%
14896901;28.79;12.5%
13791601;47.67;13%
13791701;27.77;12%
13791501;48.11;15.5%
12948001;94.27;14%
13878001;119.52;13.5%
12948101;62.69;13.5%
13419801;59.81;13.8%
13384501;61.59;13.4%
13384901;44;13%
13384601;45.67;13.4%
13384301;49.13;13%
13384701;63.49;13%
11774201;16.35;45%
13228501;82.31;12%
13228701;124.54;12%
13228401;64.43;12%
13406801;21.22;13.5%
13402101;39.5;13.5%
15386001;21.28;12.5%
15386201;31.99;12.5%
15386301;20.27;12.5%
14420801;31.1;12%
14420701;36.35;11%
5947101;28.36;15%
6881901;20.41;13%
112301;19.7;13.5%
3635401;24.96;11.5%
14398101;18.05;14%
14398301;17.68;13.5%
13082102;18.51;5.9%
4347302;23.01;5.9%
13862402;57.73;14.6%
13862502;60.91;13.6%
1223502;16.98;36.5%
11904706;10.37;12.5%
11904604;13.23;12%
3248101;19.73;12.5%
8017801;39.99;13%
7405101;15.37;13%
13730501;41.47;13.5%
13730401;36.26;12.5%
11787601;30.76;13%
14442902;20.52;38%
14755101;15.99;15%
6722301;43.04;16%
3410201;71.1;12%
1552801;83.34;12%
1160901;51.1;12%
10048601;65.54;12%
13040501;20.5;13%
13040601;21.32;12.5%
9107401;22.55;13%
940805;36.04;13.5%
9195901;37.44;13%
15465301;29.73;13%
9196001;27.18;13%
14389701;51.1;12%
14389601;48.88;12%
14389401;52.21;12%
15043401;103.93;12.5%
15043301;102.14;13%
15177601;65.79;14%
15177801;95.48;13.6%
15177701;87.6;13.5%
15177401;75.5;12.5%
14953901;65.71;14%
3204101;31.99;12.5%
13312101;40.56;12%
12351201;40.56;12%
14810201;42.45;12.5%
12351301;43.56;12%
13634901;42.56;12.5%
5149901;37.12;12.5%
7412201;35.84;12.5%
12351101;40.92;13%
13634801;40.82;13%
14810401;41.14;14%
14109401;18.17;11%
4247406;11.94;12%
14787301;28.26;12.5%
10412301;24.31;18%
10415307;28.94;12%
10415301;33.56;12%
15634702;37.52;6.3%
14582602;40.72;4.8%
14795902;33;6%
15184002;33.31;5.8%
4738501;29.86;12.5%
5020601;33.59;12.5%
14399401;28.56;14%
15215301;15.37;13%
15477701;12.37;14%
15215201;16.78;13.5%
10270301;122.21;12%
13381401;69.89;12%
7743801;277.72;12%
13388401;161.11;12%
11755005;103.92;12%
13388201;86.33;12%
3560101;122.19;12%
14997801;19.47;22%
12353601;13.82;13.5%
10336301;13.82;13.5%
15108401;13.82;13.5%
14362601;28.61;13%
12291701;39.01;13%
12497001;199.75;14.5%
13824301;228.77;14.5%
15049801;234.77;14.5%
11455901;187.75;14.5%
12496901;199.75;14.5%
13824001;228.77;14.5%
15049601;234.77;14.5%
12496801;199.75;14.5%
13824101;228.77;14.5%
15049701;234.77;14.5%
1281801;33.33;13%
5423901;26.07;40%
1683001;32.14;40%
5439801;23.25;43%
14676601;35.85;14.5%
14677201;35.19;12.5%
14255501;113.55;13.5%
14255401;108.62;13.5%
12177001;32.11;12%
4004601;42.66;12.5%
4005301;50.12;12.5%
11894801;53.32;12.5%
12435505;66.67;12.5%
14695501;52.32;14.5%
13728301;47.89;15%
14695401;48.64;14.5%
14695605;87.31;14.5%
14695201;26.57;13.5%
14688201;27.5;14%
13341301;55.06;14.5%
14688301;55.06;14.5%
13341501;45.87;14.5%
14688401;50.46;14.5%
14497001;25.53;13%
13341401;23.67;13.5%
14688001;26.16;13.5%
12011601;22.88;14.5%
14687805;25.23;14.5%
14687901;23.59;13.5%
13077001;22.6;13.5%
15462801;26.57;13.5%
14688501;35.45;15%
14688105;28.03;14%
14497101;25.6;14%
13632001;45.64;13%
4438101;33.6;12.5%
13631901;39.25;12.5%
13631801;46.89;8.5%
7813401;20.94;14%
7811901;16.78;13.5%
8287101;18.12;12.5%
10630706;13.06;12.5%
7813301;30.38;14%
7812402;42.55;16%
10097201;46.1;12%
10465901;57.23;13%
10466001;67.08;13%
12295101;15.14;14%
9380501;32.36;12%
9380401;42.93;12.5%
13710801;33.47;46.5%
13711001;42.05;46.5%
15300801;26.66;12%
15300701;23.9;14.5%
9914801;90.88;47%
9914601;16.07;40%
7855501;16.71;47%
9914901;24.28;40%
13679001;24.25;43%
2893101;49.67;43%
5251301;21.2;11%
13471201;37.33;12%
2899101;32.58;13.5%
2899001;43.8;14%
4322802;18.92;28%
676102;19.89;28%
13002704;46.9;5%
14108902;31.16;17%
12971201;20.95;37.5%
13453701;19.64;40%
12968102;26.66;21%
14538401;21.24;45%
14538201;21.24;45%
14221302;32.2;11.2%
14499602;31.95;7%
15372002;19.99;26%
14585201;17.26;13.5%
4632202;35.98;13%
885402;68;12%
8285901;20.84;13%
1471302;30.7;12.5%
9305101;17.68;11%
12198001;11.23;13%
14822101;16.49;12.5%
12183401;17.19;12%
11764501;17.6;12.5%
14822201;15.79;12.5%
12183901;10.61;12.5%
12296706;9.18;12.5%
13037301;11.54;11.5%
12234001;10.61;12.5%
11685901;18.33;12%
14822301;15.79;12.5%
3526701;26.28;14%
14487801;21.32;12.5%
14489501;27.54;12%
14488101;20.26;12.5%
14489701;27.22;12%
14489801;29.64;13%
14487901;26.13;12.5%
14489901;29.33;12.5%
14489601;21.44;11.5%
14752304;32.69;11%
14752204;31.27;11.5%
14752504;35.53;13.5%
2043501;21.32;12.5%
10467102;null;0%
3996401;36.44;13.5%
3996501;39.66;13.5%
13598801;30.75;13%
3996701;28.39;13.5%
3996601;36.57;14%
8128605;25.45;11%
1817801;27.52;11%
15268201;24.94;12%
15268101;23.19;13.5%
7160601;21.66;16%
525701;20.82;16%
526101;19.04;17.5%
525401;20.82;16%
13037401;28.56;14%
10916607;27.29;43%
4227301;14.82;13%
14507301;29.43;12%
232101;239.99;12.5%
15512201;37.53;13%
10114601;88.75;13%
15512501;91.21;13%
15511501;112.52;13%
7911101;33.22;12%
7926301;42.76;14%
6368305;43.05;14%
7911201;36.94;13.5%
7911001;33.47;14.5%
13338701;22.55;13%
14961501;39.44;12%
15388701;39.99;12%
15388601;46.92;12.5%
14997301;30.54;12%
14961601;48.53;12.5%
4807601;17.61;14%
12918201;95.47;13.5%
12918001;77.76;13.5%
10326801;64.75;14%
10326901;76.04;13.5%
9563101;78.01;13.5%
9562201;91.84;13.5%
9562301;90.47;14%
9563401;64.19;13.5%
9563501;93.82;13.5%
3582901;58.45;13%
9563701;49.37;13.5%
9562101;72.09;13.5%
12123501;22.56;13%
14743701;57.13;14%
14743501;20.94;14%
15508201;30.62;13.5%
15508301;30.62;13.5%
15508101;38.02;13.5%
15507801;41.98;13.5%
15507901;33.78;13.5%
15508001;35.06;13.5%
13363905;28.89;13.5%
13363901;27.68;13%
13040401;41.38;14.5%
13933501;72.38;14%
15088701;17.84;13.5%
9782201;55.27;13%
9445601;17.06;12.5%
14305401;329.76;14%
13170201;417.86;14%
14305601;146.43;14%
12211801;35.03;13.5%
13866701;79;13.5%
13866601;54.31;13.5%
13866201;51.35;13.5%
13866301;42.85;14%
13866401;80.94;14%
13866501;52.37;14%
14547901;36.25;12.5%
14548101;36.25;12.5%
14547801;29.85;12.5%
14548001;58.44;13%
12976901;53.24;15%
2251201;17.6;12.5%
484701;29.85;12.5%
484101;51.26;13%
13964701;22.72;13.5%
15234701;104.39;14%
15233801;408.89;13.5%
15235005;626.37;13.5%
15234601;202.56;13.5%
15235205;210.86;13.5%
15235101;349.73;13.5%
15234201;153.13;13%
15234801;97.88;13.5%
15234501;128.11;13.5%
15233901;785.79;13.5%
15234101;107.46;13.5%
15234001;90.34;13%
15234901;104.97;13%
15234301;86.65;13.5%
12924301;19.99;12%
13798801;16.54;14.5%
1064501;14.41;13%
15420901;16;12.5%
12156001;29.62;13.5%
11149801;29.53;13.5%
13166201;74.25;13%
10112701;22.39;12.5%
10116001;30.61;13.5%
10382901;26.32;12%
13405201;41.58;16%
14594301;20.86;14%
14593601;33.09;13.5%
10078301;10.73;13.5%
15215101;18.38;14.5%
15284801;19.74;13.5%
14952601;40.77;13%
14953001;40.77;13%
14952701;47.47;13%
14952801;51.93;13%
14952301;51.93;13%
12807401;199.9;13%
12807501;71.28;13%
14111401;55.37;13%
14111301;53.32;13%
14111501;41.02;13%
14110901;43.07;13%
15199201;86.9;13.5%
12182301;25.26;13%
13890701;20.85;15%
13890801;24.23;15%
6982001;38.07;14%
14696701;48.15;15.5%
6982201;35.53;15%
14696601;48.15;15.5%
14696801;20.49;13%
7609501;19.02;14%
11098705;28.98;11.5%
11098701;28.97;11.5%
11181801;34.35;13%
11359501;32.87;14%
14917501;60.15;13.5%
14917101;71.69;13%
14917901;47.52;14%
14917401;43.36;13.5%
15537101;51.18;13%
15536801;46.05;13%
15537001;46.05;13%
14917001;48.1;13.5%
14917601;32.09;13.5%
14917201;35.73;12.5%
14917701;35.9;13%
12850901;27.34;12.5%
11574101;55.12;14.5%
7986001;28.36;15%
14640801;30.61;13.5%
9445901;20.68;14.5%
5741501;27.68;13%
10939701;22.55;13%
13831601;71.51;14.5%
14306601;40.32;13.5%
14306501;51.06;13.5%
13178201;34.93;12.5%
13178301;33.57;12.5%
13178401;34.1;13%
14400801;46.03;13%
13707001;36.91;13%
13707101;37.94;13%
13707501;68.71;13%
15362801;23.79;14.5%
3133701;17.13;14%
4503701;26.66;14.5%
4503505;19.04;14%
13791101;54.1;14%
13791301;32.38;14%
13791201;48.2;13.5%
13790401;37.74;13%
13846401;28.15;13.5%
13483901;28.71;13%
13483801;29.73;13%
14027601;403.85;13%
15557201;23.58;13%
15556701;22.19;12%
15556801;28.71;13%
14067601;26.66;12%
13778201;30.76;13%
13778001;30.76;13%
11236701;34.56;13.5%
10876101;23.69;13.5%
15457701;27.35;14%
15457601;28.39;13.5%
8338902;35.54;15%
14741401;108.63;13.5%
11396201;66.66;14%
2977601;37.32;12.5%
2977701;36.53;13.5%
6908301;71.42;14%
7727201;63.99;12.5%
13759307;41.97;13.5%
10777501;41.02;13%
1966201;44.43;12%
14741301;44.43;12%
10757701;41.01;13%
13759505;38.46;13%
2980701;38.96;13%
6908101;57.13;14%
7754801;128.39;13.5%
12994601;15.38;13%
15085601;37.52;14%
15085701;40.89;13.5%
15085401;38;14%
12976301;45.89;14.5%
14361601;13.29;14%
10792601;18.24;14.5%
5809101;26.83;14.5%
5809301;20.9;13.5%
10824301;21.03;12.5%
12039501;35.02;14.5%
7703801;19.7;11.5%
14666401;35.33;12%
8198102;43.19;46.3%
15096401;69.04;13.5%
15096701;81.88;13.5%
15082801;75.95;13.5%
15096501;102.62;13.5%
15096601;81.88;13.5%
15563201;100.95;14%
15562601;127.41;13.5%
13200101;162.96;13.5%
12488501;72.11;13.5%
13781601;114.46;13.5%
13204902;133.33;13.5%
15106101;106.67;13.5%
11848301;112.8;13%
12041705;79.66;13%
12416501;82.03;13%
12698701;119.06;14.5%
13203402;136.99;14.5%
14390701;76.23;14.5%
14122601;84.94;13.5%
14819207;102.16;13.5%
15145001;157.53;13.5%
15351101;108.64;13.5%
3662101;135.3;13%
12416601;123.46;13.5%
13811501;96.61;14.5%
14122801;118.5;13.5%
10908601;118.51;13.5%
12477201;102.25;13.5%
1815205;95.23;14%
14714901;178.46;13%
15099101;140.25;13.5%
14714801;86.91;13.5%
10419201;78.9;13.5%
14712705;92.44;13.5%
15099201;88.69;13.5%
11705201;96.58;13.5%
14712801;98.57;13.5%
13821401;81.59;14.5%
13945707;89.63;14.5%
13945605;89.66;14.5%
14718301;89.93;14.5%
14712501;103.51;13.5%
13517501;68.14;13.5%
12174101;18.67;12.5%
15040101;34.67;15%
10535301;239.74;13%
10199401;28.84;13.5%
15271301;30.26;13%
10199501;33.33;13%
12556501;33.09;13.5%
15270801;33.48;13.5%
13259201;18.95;14%
12285101;24.84;14.5%
4542101;15.64;11.5%
12008301;16.94;12.5%
14887701;58.26;13.5%
13599201;58.26;13.5%
14887501;158.01;13.5%
14887601;143.2;13.5%
13756101;133.32;14%
12312201;128.39;13.5%
13599301;130.36;13.5%
13599401;104.68;13.5%
14428001;55.08;14.5%
14428201;27.49;14.5%
13247601;30.93;12.5%
13247901;30.93;12.5%
13247501;29.87;12.5%
15097001;27.65;13.5%
13247701;28.64;13.5%
13248101;30.62;13.5%
13247801;29.33;12.5%
15081601;27.16;13.5%
14569101;24.45;14.5%
13051901;45.04;13.5%
14308101;42.89;12%
13051601;54.22;12%
14187901;69.33;12%
13051401;27.56;12%
13051701;64;13.5%
7649401;69.12;12.5%
13921001;55.11;12%
14341201;38.55;11%
14188101;48.2;13.5%
14188401;43.52;12.5%
13051501;30.89;12%
13921101;29.65;12.5%
14341301;47.79;12.5%
14341101;72;12%
13072601;35.73;12.5%
13478205;48.62;13.5%
14381201;44.1;13%
13478505;57.76;13.5%
13478105;50.35;13.5%
14381301;43.59;13%
13478405;39.48;13.5%
13477705;89.14;13.5%
13072101;102.46;13%
13072501;74.36;13%
13072701;43.14;13.5%
13072401;51.85;13.5%
13072301;51.18;13%
13106901;37.95;13%
13072201;32.29;13%
15458001;18.07;12.5%
5169601;15.64;11.5%
12641001;24.23;11%
15425201;16.98;13.5%
15425301;19.58;14.5%
14297501;38.51;13.5%
12716802;124.42;13.5%
12716401;33.24;14%
12716501;24.74;14.5%
12325301;110.01;14.5%
12325001;54.06;12.8%
14401001;52.72;13%
12325101;55.28;13%
14492601;52.72;13%
13639801;47.89;12.5%
14400901;57.86;11.5%
12324901;48.43;12.5%
12806201;39.5;13.5%
11036001;44.61;13%
5253701;25.54;12%
14594201;55.36;13%
14594101;56.39;13%
13653501;30.76;13%
13653601;31.99;12.5%
13653701;28.79;12.5%
13873801;29.62;13.5%
12714206;13.82;13.5%
12848901;47.31;15.5%
12439901;35.7;15.5%
12849001;43.68;14.5%
14507101;29.43;12%
11725401;22.77;12%
14507201;29.43;12%
10226701;19.41;12%
3907501;26.14;13%
3956401;25.63;13%
10159301;41.64;13.5%
6821901;27.51;14%
6470405;18.27;13.5%
3241501;15.79;13.5%
6251801;43;15.5%
6966301;30.5;13%
10043701;24;12.5%
14523801;24.61;13%
1872001;17.21;12%
12806901;30.76;13%
12808201;39.99;13%
13615101;23.91;14.5%
14650101;30.48;14%
7324302;36.35;16.5%
7346602;29.99;18%
7324402;39.99;16.5%
15502401;22.86;13%
14111801;42.04;13%
14111601;30.76;13%
14111701;31.78;13%
14111901;30.76;13%
11732501;20.48;14%
14101901;26.57;14.5%
3073601;35.95;13.5%
13199301;48.69;13%
14395701;28.48;14%
10852401;52.89;15%
10852501;54.76;14%
14388501;29.53;13.5%
12388601;69.8;15%
12970001;106.25;15%
12806801;40.52;12.5%
1412801;19.74;13.5%
11877201;19.04;14%
14651501;45.86;12.5%
14651301;49.73;13%
14651601;50.36;13.5%
10481901;48.95;15.5%
603701;23.67;12.5%
3091301;28.79;12.5%
14844101;37.74;13%
14844201;33.01;14.5%
3983301;33.35;7.5%
13630505;54.22;15%
13630605;50.83;16%
13630401;46.25;16%
13630701;99.99;16%
7604201;27.72;12.5%
7604101;24.61;13%
12789001;32.49;13.5%
15172001;18.57;14%
12117701;37.9;14%
14487401;34;14.5%
11874101;44.67;14%
15146401;50.46;14%
15146605;50.67;14%
15272401;67.69;13%
11845201;44.59;12.5%
15272101;91.28;13%
10794401;116.91;13%
10113201;28.63;13.5%
4820405;15.99;12.5%
863702;18.35;12.5%
4820401;15.54;12%
1226801;28.59;12.5%
13261701;28.69;12.5%
9772301;24.59;13.5%
5871401;16.96;11%
11901501;16.36;13%
15352401;53.32;13%
5401202;27.78;44%
10916501;37.44;42%
5401501;39.05;42%
5402201;29.14;43%
